name,station,category,review,address,latitude,longitude
뚝섬미술관,뚝섬역,미술관,8608,서울 성동구 아차산로 33 지하 1층,37.547351,127.0484429
섬세이 테라리움,뚝섬역,전시관,5077,서울 성동구 서울숲2길 44-1 지하1층 섬세이 테라리움,37.5462075,127.0435608
성수아트홀,뚝섬역,공연장,1001,서울 성동구 뚝섬로1길 43,37.5454156,127.0469729
무비랜드,뚝섬역,영화관,293,서울 성동구 연무장길 5-5,37.5441644,127.0502997
인더무드성수 셀프사진관,뚝섬역,"셀프,대여스튜디오",146,서울 성동구 왕십리로16가길 10 지하1층,37.5503473,127.0448514
라쿵 베이커리,뚝섬역,공방,71,서울 성동구 아차산로 54 4층,37.54612729999999,127.0500548
컬러온스튜디오,뚝섬역,공방,736,서울 성동구 왕십리로10길 20 2층,37.54647380000001,127.0466892
유유히 성수,뚝섬역,공방,2323,서울 성동구 서울숲9길 5 101호,37.5483984,127.0435731
히포캠퍼스 성수,뚝섬역,공방,2623,서울 성동구 성수일로12길 19-1 B1층,37.5484304,127.0534454
코사이어티,뚝섬역,복합문화공간,1325,서울 성동구 왕십리로 82-20 코사이어티,37.5447703,127.0456715
스냅파이 서울숲,뚝섬역,"셀프,대여스튜디오",123,서울 성동구 서울숲2길 24,37.5468084,127.0414045
더서울라이티움,뚝섬역,전시관,136,서울 성동구 서울숲2길 32-14 갤러리아포레 지2층,37.545702,127.042425
낫저스트북스,뚝섬역,독립서점,138,서울 성동구 서울숲길 44 3층,37.547883,127.0423843
더페이지갤러리,뚝섬역,"갤러리,화랑",1207,서울 성동구 서울숲2길 32-14 갤러리아 포레 G205,37.545702,127.042425
너즐,뚝섬역,고양이카페,222,서울 성동구 서울숲6길 14 거암아트빌라 4층,37.5475077,127.0430577
보드게임카페 레드버튼 성수점,뚝섬역,보드카페,1393,서울 성동구 연무장길 17 3층,37.54374749999999,127.0514862
플라비 성수점,뚝섬역,공방,1174,서울 성동구 서울숲2길 19-17 반지하층,37.5474204,127.0410508
성동구민종합체육센터,뚝섬역,구민체육센터,676,서울 성동구 왕십리로 89,37.54575579999999,127.0440944
디뮤지엄,뚝섬역,미술관,13577,서울 성동구 왕십리로 83-21 디뮤지엄,37.5438189,127.0441812
블루밍테라,뚝섬역,"관람,체험",44,서울 성동구 아차산로 6 1층,37.5463387,127.0535209
플레이즈라운지,뚝섬역,"키즈카페,실내놀이터",2521,서울 성동구 서울숲2길 32-14 갤러리아포레 더몰 B104,37.545702,127.042425
모노맨션 성수점,뚝섬역,"셀프,대여스튜디오",58,서울 성동구 연무장길 30 1층,37.5431008,127.0527908
서울숲복합문화체육센터,뚝섬역,구민체육센터,1285,서울 성동구 왕십리로11길 19,37.5496222,127.0428282
레트르 성수,뚝섬역,공방,12135,서울 성동구 연무장길 37-18 1층,37.5433702,127.0537867
레토 성수,뚝섬역,방탈출카페,392,서울 성동구 연무장5길 18 지하1층 101호,37.544559,127.0531701
성수 웯우드스튜디오 나무반지공방,뚝섬역,공방,293,서울 성동구 연무장5가길 7 1층 131호,37.5440369,127.0536291
클라쎄 성수,뚝섬역,공방,2499,서울 성동구 연무장5가길 7 성수역 현대테라스타워 1층 130호,37.5439435,127.0532314
위에트 성수,뚝섬역,공방,1122,서울 성동구 서울숲2길 8-8 3층,37.5472477,127.0394561
언더스탠드에비뉴,뚝섬역,복합문화공간,3091,서울 성동구 왕십리로 63 언더스탠드에비뉴,37.5436067,127.0436433
오브유,뚝섬역,공방,375,서울 성동구 왕십리로 66-33 2층,37.5430007,127.0454699
그라운드시소 서촌,서촌,복합문화공간,14083,서울 종로구 자하문로6길 18-8,37.5778413,126.9729057
대림미술관,서촌,미술관,14103,서울 종로구 자하문로4길 21 대림미술관,37.5775023,126.9733626
onground,서촌,"갤러리,화랑",1873,서울 종로구 자하문로10길 23,37.5795215,126.9727876
통의동 보안여관,서촌,"갤러리,화랑",1269,서울 종로구 효자로 33,37.57904389999999,126.9736188
리안갤러리 서울,서촌,"갤러리,화랑",233,서울 종로구 자하문로12길 9,37.5798204,126.9719442
경복궁아트홀,서촌,"공연,연극시설",27,서울 종로구 자하문로 82 경복궁아트홀,37.5833524,126.9706979
종로구립 박노수미술관,서촌,미술관,797,서울 종로구 옥인1길 34,37.5813669,126.9667492
아트사이드 갤러리,서촌,"갤러리,화랑",656,서울 종로구 자하문로6길 15 아트사이드 갤러리,37.5782277,126.9729419
이이엄,서촌,복합문화공간,56,서울 종로구 필운대로9길 3 1~2층,37.5821709,126.9674787
서촌라운지,서촌,복합문화공간,104,서울 종로구 필운대로 27-4,37.5784977,126.9688875
갤러리 B,서촌,"갤러리,화랑",122,서울 종로구 자하문로7길 5,37.5781613,126.9712751
어피스어피스,서촌,전시관,39,서울 종로구 필운대로 48 4층,37.5803124,126.9687687
플루리포텐트 아트 스페이스,서촌,복합문화공간,8,서울 종로구 효자로9길 30 지층 101호(창성동),37.5804775,126.9730136
갤러리 그리다,서촌,"갤러리,화랑",14,서울 종로구 자하문로12길 21,37.5802665,126.972048
아트스페이스서촌,서촌,"갤러리,화랑",13,"서울 종로구 자하문로10길 7 1층, 지하1층",37.5796218,126.9719007
진화랑,서촌,"갤러리,화랑",142,서울 종로구 효자로 25,37.5783286,126.9736927
