name,station,score,review,address,latitude,longitude
로우커피스탠드,뚝섬역,4.5,373,서울 성동구 왕십리로4길 28-2 1층,37.5471333,127.0466301
센터커피 서울숲점,뚝섬역,3.8,505,서울 성동구 서울숲2길 28-11 1층,37.5465341,127.0416644
카페&펍 연무장,뚝섬역,3.5,384,서울 성동구 연무장길 36 8층,37.5428635,127.0533094
블루보틀 성수 카페,뚝섬역,3.2,822,서울 성동구 아차산로 7,37.5480855,127.0456501
로우키,뚝섬역,4.4,711,서울 성동구 연무장3길 6 1층,37.5441954,127.0515838
할아버지공장,뚝섬역,3.2,727,서울 성동구 성수이로7가길 9 1-2층,37.5411231,127.0548807
어니언 성수,뚝섬역,3.5,1037,서울 성동구 아차산로9길 8 1-2층,37.5447169,127.0582995
파머스카페,뚝섬역,4.1,1047,서울 성동구 왕십리로6길 11 1층,37.5460053,127.0460921
이월로스터스 성수점,뚝섬역,4.1,117,서울 성동구 서울숲2길 46,37.5461913,127.0437481
쎈느,뚝섬역,3.8,182,"서울 성동구 연무장5길 20 1,2층",37.5448471,127.0534209
성수동대림창고갤러리,뚝섬역,3.1,1295,서울 성동구 성수이로 78 1층,37.5418384,127.0564636
비엔나커피하우스 서울숲역점,뚝섬역,3.6,56,서울 성동구 왕십리로 66 1층,37.5434613,127.0450286
브레디포스트 성수,뚝섬역,4.2,4348,"서울 성동구 상원1길 5 1,2층 201호",37.5444991,127.0491623
업사이드커피 뚝섬점,뚝섬역,4.4,156,서울 성동구 왕십리로14길 19-1 1층,37.5487537,127.0459109
도렐 성수점,뚝섬역,2.9,256,서울 성동구 연무장7길 11 1층,37.5438054,127.0544306
치카 성수,뚝섬역,4.5,454,서울 성동구 뚝섬로1가길 14 1층,37.5423383,127.0471594
베통 성수,뚝섬역,4.6,391,서울 성동구 연무장7가길 8,37.54294470000001,127.0552259
마일스톤커피 성수,뚝섬역,4.0,461,서울 성동구 서울숲4길 15 1층,37.5474337,127.0428283
카페 투스프링,뚝섬역,4.4,15,서울 성동구 왕십리로4길 26-14 1층,37.546851,127.0468581
브루잉세레모니,뚝섬역,4.5,294,서울 성동구 연무장5가길 22-1 1층,37.5432581,127.055141
피치스 도원,뚝섬역,3.2,464,서울 성동구 연무장3길 9 1층,37.54461879999999,127.0513146
백야드빌더 성수점,뚝섬역,4.4,65,서울 성동구 광나루로 152,37.5514354,127.0470649
맛차차,뚝섬역,3.3,169,서울 성동구 서울숲2길 18-11,37.5468218,127.0406243
오우도,뚝섬역,4.4,326,서울 성동구 성수일로 55 1층,37.5454262,127.0494961
성수지앵,뚝섬역,4.4,606,서울 성동구 왕십리로 101 1-2층,37.5466656,127.0443846
크림라벨,뚝섬역,3.5,124,서울 성동구 서울숲2길 34 1층,37.546525,127.0423527
마를리,뚝섬역,3.4,927,서울 성동구 연무장길 47 홍원빌딩 1층,37.5428815,127.0547848
바이닐 성수,뚝섬역,3.7,460,서울 성동구 아차산로 15-8 디에스빌딩 2층,37.5479113,127.0461879
무브모브 카페,뚝섬역,4.4,184,서울 성동구 성수일로 56 1층 102호,37.5453869,127.0504651
피넛버터바나나,뚝섬역,3.5,855,서울 성동구 아차산로7길 15-8,37.5466832,127.054515
슈퍼말차 성수,뚝섬역,3.8,337,서울 성동구 서울숲6길 19 1층,37.5474957,127.0437688
커피오스,뚝섬역,4.8,41,서울 성동구 성수일로4길 31-1 1층,37.5421545,127.0522003
천상가옥,뚝섬역,3.6,654,서울 성동구 성수이로14길 14 3층,37.5415153,127.0569694
스타벅스 뚝섬역,뚝섬역,2.9,92,서울 성동구 아차산로 42,37.5464424,127.0491136
디어벌스데이,뚝섬역,3.8,100,서울 성동구 서울숲길 55 3층,37.5481983,127.0436702
메쉬커피,뚝섬역,3.6,207,서울 성동구 서울숲길 43,37.5481245,127.0424887
어라운드데이,뚝섬역,,1025,서울 성동구 서울숲2길 24-1,37.5468333,127.0413119
포레스트,뚝섬역,3.9,202,서울 성동구 서울숲2길 20-12,37.5467904,127.0407388
포어플랜,뚝섬역,3.4,514,서울 성동구 왕십리로14길 30-11,37.5482373,127.047502
모리티아,뚝섬역,3.6,69,서울 성동구 아차산로5길 10 1층,37.5466799,127.0525707
샌드카베,뚝섬역,4.7,209,서울 성동구 서울숲4길 22-18 1층,37.5468032,127.0430694
묘사서울,뚝섬역,3.3,498,서울 성동구 서울숲2길 2 2층,37.5478318,127.0397466
빽다방 서울숲역점,뚝섬역,3.0,16,서울 성동구 왕십리로 100 1층,37.5464628,127.0448837
5TO7,뚝섬역,3.7,1180,"서울 성동구 서울숲2길 44-13 1,2층",37.5460839,127.043323
시즈니,뚝섬역,4.7,205,서울 성동구 서울숲6길 14 거암아트빌라 2층 201호,37.5475077,127.0430577
에빠,뚝섬역,4.8,260,서울 성동구 왕십리로5길 19 1층,37.5477026,127.043687
옹근달,뚝섬역,2.3,798,"서울 성동구 성수이로7길 41-1 1, 2층",37.5427829,127.0530018
커피식탁,뚝섬역,3.9,42,서울 성동구 상원1길 15,37.5451426,127.0486877
그린룸,뚝섬역,4.9,36,서울 성동구 왕십리로 136 3층,37.549707,127.044548
공차 서울숲점,뚝섬역,2.6,25,서울 성동구 왕십리로 94-2 1층,37.5461123,127.0449738
플디,뚝섬역,,208,서울 성동구 상원길 44 2층,37.5479319,127.048527
컴포즈커피 성수점,뚝섬역,4.1,16,서울 성동구 상원1길 29 1층 2호,37.54625619999999,127.0476105
호텔아우프글렛 성수점,뚝섬역,3.0,90,서울 성동구 왕십리로10길 9-2 1~3층,37.5469042,127.0458201
섬세이 테라리움,뚝섬역,3.2,542,서울 성동구 서울숲2길 44-1 지하1층,37.5462414,127.0435723
카페서울숲,뚝섬역,3.8,70,서울 성동구 왕십리로 63 1층,37.5436067,127.0436433
체다앤올리,뚝섬역,,842,서울 성동구 서울숲2길 32-14 갤러리아포레 1층 113호,37.545702,127.042425
예빈당,뚝섬역,3.4,276,서울 성동구 성수이로 87 성문빌딩 1층,37.542814,127.0562605
해피캠퍼,뚝섬역,4.9,38,서울 성동구 왕십리로4길 10-15 1층,37.5456551,127.0462892
어퍼룸,뚝섬역,4.6,326,서울 성동구 성수일로12길 21 1층,37.548396,127.053607
카모플라쥬,뚝섬역,4.6,68,서울 성동구 아차산로1길 9,37.5489861,127.0456953
피어커피 성수,뚝섬역,4.2,152,서울 성동구 광나루로4가길 24 1층,37.5489186,127.0548742
어썸블리스,뚝섬역,5.0,30,서울 성동구 상원2길 5-11 3층,37.5462406,127.0494814
