name,category,region,score,review,value,price,address,latitude,longitude
대성갈비,갈비,뚝섬역,3.2,463,19.64763056712402,30500,서울 성동구 상원1길 26 서울숲A타워 1층 101~103호 (우)04779,37.5461391,127.0486088
제스티살룬 성수,햄버거,뚝섬역,4.1,2064,31.29483057212004,10925,서울 성동구 서울숲4길 13 1층 (우)04768,37.5475413,127.0424647
르프리크,햄버거,뚝섬역,4.3,1293,30.811621942761633,8925,서울 성동구 연무장5길 9-16 B103호 (우)04782,37.5443638,127.0526737
차이나플레인 서울숲점,중국요리,뚝섬역,3.3,217,17.768833707203992,16500,서울 성동구 뚝섬로1길 25 (우)04778,37.5436431,127.0463021
로우커피스탠드,카페,뚝섬역,4.5,373,26.659151088365395,2700,서울 성동구 왕십리로4길 28-2 1층 (우)04778,37.5471333,127.0466301
미테이블 성수본점,양식,뚝섬역,4.7,1277,33.61934268420616,31900,서울 성동구 왕십리로8길 5 1층 (우)04778,37.5465226,127.045351
밀도 성수본점,"제과,베이커리",뚝섬역,3.7,367,21.859906871225046,7750,서울 성동구 왕십리로 96 1층 (우)04778,37.5462417,127.0448937
오레노카츠 성수본점,"돈까스,우동",뚝섬역,3.7,465,22.73348684626489,14500,서울 성동구 성수일로 47 1층 102호 (우)04779,37.5447534,127.049521
센터커피 서울숲점,커피전문점,뚝섬역,3.8,505,23.66083934329237,5500,서울 성동구 서울숲2길 28-11 1층 (우)04768,37.5465341,127.0416644
소문난성수감자탕,감자탕,뚝섬역,3.0,3758,24.695724730692532,19500,서울 성동구 연무장길 45 1층 (우)04782,37.5428851,127.0544297
어메이징브루잉컴퍼니 성수브루펍,"호프,요리주점",뚝섬역,4.2,205,22.377079908916244,25000,서울 성동구 성수일로4길 4 1층 (우)04780,37.5428884,127.0493997
누메로도스,이탈리안,뚝섬역,3.9,650,25.266187604613418,20250,서울 성동구 상원1길 35-9 1층 (우)04778,37.5463498,127.0473418
훼미리손칼국수보쌈,"족발,보쌈",뚝섬역,3.5,856,23.63703271509223,18500,서울 성동구 왕십리로 134 1층 (우)04789,37.5495435,127.0446906
서울숲누룽지통닭구이,치킨,뚝섬역,3.7,433,22.4702647761715,26500,"서울 성동구 왕십리로5길 10 1, 2층 (우)04768",37.5469641,127.0444086
할머니의레시피,한식,뚝섬역,3.6,624,23.175905939051045,12250,서울 성동구 서울숲2길 44-12 (우)04768,37.5471785,127.0421007
카페&펍 연무장,카페,뚝섬역,3.5,384,20.836351670007247,5875,서울 성동구 연무장길 36 8층 (우)04781,37.5428635,127.0533094
온량,이탈리안,뚝섬역,3.7,618,23.783989508933008,15500,서울 성동구 서울숲4길 26-10 1층 (우)04768,37.5469117,127.0434891
블루보틀 성수 카페,커피전문점,뚝섬역,3.2,822,21.481459842166625,5600,서울 성동구 아차산로 7 (우)04789,37.5485225,127.046582
