name,station,score,review,address,latitude,longitude
에이머그,수유역,4.5,29,서울 강북구 노해로 21 벤처월드 1층,37.6375465,127.0226311
무너미,수유역,,345,서울 강북구 노해로8가길 40 1층,37.6398044,127.0236096
큐브이스케이프 수유점,수유역,4.3,69,서울 강북구 도봉로87길 11 2층,37.638337,127.0248677
투썸플레이스 수유사거리점,수유역,4.2,51,서울 강북구 도봉로 295 스타타워 1층,37.6349281,127.0229369
컴포즈커피 수유역점,수유역,5.0,6,서울 강북구 오패산로 417 1층,37.6376162,127.0258364
카페다담,수유역,4.4,10,서울 강북구 덕릉로 64 2층,37.6342809,127.0208048
커피빈 강북구청앞점,수유역,3.8,29,서울 강북구 한천로139길 25 1-2층,37.6390716,127.025728
엔제리너스 수유역점,수유역,2.8,136,서울 강북구 도봉로 333,37.6378691,127.0250254
모비딕 수유점,수유역,4.5,45,서울 강북구 도봉로 350 삼주빌딩 4층,37.6385766,127.0266946
노르웨이안우드,수유역,,260,"서울 강북구 도봉로87길 32-6 1,2층",37.6392082,127.0243418
스타벅스 수유역점,수유역,3.7,103,서울 강북구 도봉로 342,37.638045,127.026416
스타벅스 강북구청사거리점,수유역,4.2,90,서울 강북구 도봉로 365,37.6400318,127.027361
빈세앙,수유역,4.4,36,서울 강북구 오패산로 405 1층,37.63693620000001,127.0269001
설빙 서울강북수유역점,수유역,3.8,27,서울 강북구 오패산로 417 2-3층,37.6376162,127.0258364
백억커피 수유점,수유역,5.0,13,서울 강북구 도봉로 368 1층,37.6398538,127.0280416
양승진커피,수유역,3.9,18,서울 강북구 한천로129길 18 1층,37.6372359,127.0292168
선데이베이글,수유역,3.4,252,서울 강북구 한천로143길 12 1층,37.6408154,127.024613
할리스 수유사거리점,수유역,,38,서울 강북구 도봉로82길 11 2~4층,37.6358906,127.0243904
헬로우수유,수유역,4.3,39,서울 강북구 도봉로85길 14 1층,37.638085,127.0246075
디저트39 수유역점,수유역,3.9,46,서울 강북구 한천로140길 14 1층,37.641689,127.0276324
카페 멘덜리,수유역,4.8,107,서울 강북구 수유로 18 1층,37.63242960000001,127.0188574
훌리데이,수유역,5.0,26,서울 강북구 수유로 56 1층,37.6355581,127.0199752
스타벅스 수유역5번출구점,수유역,4.2,29,서울 강북구 도봉로 315,37.6371317,127.0233498
낙과유수 본점,수유역,5.0,6,서울 강북구 도봉로101길 59 1층,37.6443495,127.0277505
칩멍크,수유역,4.8,114,서울 강북구 삼양로98길 7 1층,37.6387399,127.0176157
민박컾,수유역,5.0,7,서울 강북구 노해로14길 24 메인하우스 1층,37.6397086,127.0241346
메가MGC커피 수유역점,수유역,3.6,19,서울 강북구 오패산로 413 1층,37.637438,127.0261563
라라브레드 수유점,수유역,4.9,195,서울 강북구 노해로14길 8 1층,37.6394328,127.0231162
빽다방 수유사거리점,수유역,5.0,4,서울 강북구 수유로 84 1층,37.6361002,127.022838
어니언 미아,수유역,4.6,349,서울 강북구 솔매로50길 55 서울강북우체국 1층,37.6240844,127.028204
스타벅스 동대문공원점,동대문역사문화공원역,3.4,74,"서울 중구 장충단로 229 1,2층",37.5655533,127.0074745
러시아케이크,동대문역사문화공원역,4.4,606,서울 중구 을지로42길 7 1층,37.5658276,127.0058837
호랑이,동대문역사문화공원역,3.6,793,서울 중구 을지로 157 대림상가 3층 라열 351호,37.5675231,126.9954275
더쌍화,동대문역사문화공원역,4.5,416,서울 종로구 종로 252-16 1층,37.5705943,127.0057436
피어커피 광희문점,동대문역사문화공원역,4.6,259,서울 중구 청구로 123 1-2층,37.5628011,127.0102428
카페사루,동대문역사문화공원역,4.6,107,서울 중구 동호로12길 53,37.5575743,127.0116003
노띵커피,동대문역사문화공원역,4.3,106,서울 중구 퇴계로50길 33-2 1층,37.5610603,127.0011461
수잔나의앞치마,동대문역사문화공원역,4.2,875,서울 중구 퇴계로49길 24,37.5633042,126.9996065
스타벅스 장충라운지R점,동대문역사문화공원역,4.2,572,서울 중구 장충단로4길 25,37.5610365,127.0073349
티프 동대문,동대문역사문화공원역,4.2,427,서울 중구 퇴계로53길 6-17 지하1층,37.5642258,127.0043503
커피그래,동대문역사문화공원역,4.2,322,서울 중구 동호로 204 청화빌딩 1층 102호,37.5562164,127.0099543
챔프커피 제3작업실,동대문역사문화공원역,4.1,503,서울 중구 을지로 157 대림상가 라열 3층 381호,37.5675231,126.9954275
콘하스 디디피점,동대문역사문화공원역,3.7,39,서울 중구 장충단로 215 1~5층,37.5638427,127.0067947
스타벅스 동대입구역점,동대문역사문화공원역,4.1,75,서울 중구 장충단로 166,37.5596792,127.0062029
펄시커피,동대문역사문화공원역,4.4,471,서울 중구 동호로20길 34-57 1층,37.5593262,127.0096291
4F카페,동대문역사문화공원역,3.5,143,서울 중구 을지로35길 26-1 1층,37.5678849,127.0013645
카페드리옹 장충점,동대문역사문화공원역,4.2,310,서울 중구 장충단로 179,37.5610776,127.0057509
애락,동대문역사문화공원역,4.7,173,서울 중구 청구로22길 36 1층,37.5636743,127.011422
설빙 동대문점,동대문역사문화공원역,4.4,104,서울 중구 을지로 254 타임캐슬 오피스텔 2층 201호,37.5660065,127.0063204
스타벅스 국립중앙의료원점,동대문역사문화공원역,3.4,58,서울 중구 을지로 251,37.5665377,127.0063656
카페&펍연무장 동대문점,동대문역사문화공원역,4.3,18,서울 중구 을지로 264,37.56576099999999,127.0069912
제이히든하우스,동대문역사문화공원역,2.9,231,서울 종로구 종로 269-4 1층,37.5714266,127.0079896
링링,동대문역사문화공원역,4.0,207,서울 중구 청구로8길 35 1층,37.56202469999999,127.0139778
카페드페소니아,동대문역사문화공원역,2.1,47,서울 중구 을지로 281 DDP 아트홀 1층,37.565889,127.009042
헤베커피,동대문역사문화공원역,4.5,255,서울 중구 필동로 32 낙원빌딩 1층,37.5588711,126.9960502
투썸플레이스 장충점,동대문역사문화공원역,3.0,40,서울 중구 장충단로 187 백림빌딩 1층,37.5615575,127.0059516
심세정,동대문역사문화공원역,,342,서울 중구 퇴계로 409-11 1층,37.5662075,127.0170514
메가MGC커피 동대문점,동대문역사문화공원역,3.2,36,서울 중구 장충단로13길 13 상건빌딩 1층,37.5677909,127.0078371
빽다방 동대문역사문화공원역점,동대문역사문화공원역,3.6,8,서울 중구 을지로43길 13 대화빌딩 1층,37.5668919,127.0068041
피즈소셜클럽,동대문역사문화공원역,4.8,272,서울 중구 을지로35길 51-4 4층,37.5690339,127.0013955
모카리아,디지털미디어시티역,4.2,45,서울 마포구 월드컵북로44길 76-12 1-2층,37.5780553,126.8941031
미지엄,디지털미디어시티역,4.3,45,"서울 마포구 성암로 205 1,2층",37.5778392,126.8967435
82년생김민경X카페르세,디지털미디어시티역,3.3,218,서울 마포구 매봉산로 80 파크엠 1층 15호,37.5785085,126.8941179
카페모임 1호점,디지털미디어시티역,3.6,22,서울 마포구 매봉산로 72 1층 101호,37.577998,126.8936024
스타벅스 수색점,디지털미디어시티역,4.6,62,서울 은평구 수색로 216 1층,37.5805841,126.8996233
스타벅스 디지털미디어시티역,디지털미디어시티역,4.4,83,서울 마포구 성암로 179 한샘상암사옥 1층,37.5761232,126.8986411
카페탱크6,디지털미디어시티역,4.4,33,서울 마포구 증산로 87 문화비축기지 T6 지하2층,37.5705673,126.8942802
보헤미안 박이추 커피공장 상암점,디지털미디어시티역,4.1,82,서울 마포구 성암로 267 MBC몰파크 2층 201호,37.5808726,126.8907705
카페모임 블루밍,디지털미디어시티역,4.7,54,서울 마포구 월드컵북로50길 16,37.5772336,126.8939781
팬케이크샵커피,디지털미디어시티역,4.4,43,서울 마포구 월드컵북로42라길 3 1층 101호,37.5755434,126.8967509
카페훈훈,디지털미디어시티역,5.0,25,서울 마포구 성암로13길 60 1층,37.5755535,126.8977562
알키미스타,디지털미디어시티역,4.0,38,서울 은평구 증산로 251 1층,37.580671,126.9058647
커피루소 상암점,디지털미디어시티역,3.6,52,서울 마포구 매봉산로 75 DDMC 1층,37.5784536,126.8929138
마름모커피,디지털미디어시티역,4.1,206,서울 마포구 성암로13길 46 1층,37.5761452,126.8974629
벨라리아,디지털미디어시티역,4.8,49,서울 마포구 월드컵북로44길 58 D동 1층,37.5772331,126.8944591
투썸플레이스 디지털미디어시티역점,디지털미디어시티역,3.7,57,서울 마포구 성암로 189 중소기업DMC타워 1층,37.5767302,126.8978768
어로드커피,디지털미디어시티역,4.6,313,"서울 마포구 성암로15길 74 지하1층, 1층",37.56826700000001,126.9144681
투오브어스,디지털미디어시티역,4.6,44,서울 은평구 증산로3길 5-5,37.5805273,126.905333
일디오커피 상암점,디지털미디어시티역,4.5,74,서울 마포구 성암로 211-3,37.5781866,126.8961406
코테슬로,디지털미디어시티역,4.9,105,서울 마포구 월드컵북로42다길 32 2층,37.5763037,126.8967253
메가MGC커피 수색자이점,디지털미디어시티역,3.6,22,서울 은평구 수색로 217 DMC자이1단지 1층 110~111호,37.5795921,126.8987303
구움소리,디지털미디어시티역,4.6,133,"서울 마포구 월드컵북로44길 57-12 1,2층",37.5768254,126.89401
스타벅스 상암DMC점,디지털미디어시티역,4.3,61,"서울 마포구 월드컵북로 375 DMC이안오피스텔1단지 102,202호",37.5770598,126.8913944
매머드익스프레스 상암DMC점,디지털미디어시티역,4.2,12,서울 마포구 성암로13길 37 1-3층,37.57649960000001,126.8973243
커피빈 상암SBS미디어센터점,디지털미디어시티역,4.1,25,서울 마포구 상암산로 82 SBS프리즘타워 1층,37.579683,126.8927292
탐앤탐스 DMC점,디지털미디어시티역,2.9,22,서울 은평구 수색로 195 1-2층,37.5785705,126.9006837
스타벅스 상암MBC점,디지털미디어시티역,4.0,57,서울 마포구 성암로 267 MBC신사옥 C1 경영센터,37.5811662,126.8907777
메가MGC커피 디지털미디어시티역점,디지털미디어시티역,4.0,11,서울 마포구 성암로13길 36 1층,37.5765578,126.897109
커피아람빈스 로스터리 카페 상암본점,디지털미디어시티역,4.6,12,서울 마포구 월드컵북로48길 57 1층,37.5780119,126.8964886
이디야커피 상암한샘점,디지털미디어시티역,3.7,10,서울 마포구 성암로13길 58 1층,37.575698,126.8977264
잉클링,가락시장역,4.4,53,서울 송파구 양재대로60길 3-5 보우빌딩 1층,37.4987893,127.116878
설빙 가락시장역점,가락시장역,3.2,70,서울 송파구 중대로 109 2층,37.4938344,127.1204982
페이지,가락시장역,4.1,121,서울 송파구 동남로4길 35 자양빌딩 1층 101호,37.4871093,127.1250946
스타벅스 가락시장역점,가락시장역,3.6,57,서울 송파구 중대로 121,37.49441849999999,127.1215763
빽다방 가락시장역점,가락시장역,3.7,14,서울 송파구 송파대로28길 27 성원상떼빌 102동 101호,37.495064,127.1204364
커피랑도서관 가락센터점,가락시장역,3.8,33,서울 송파구 송이로 83 우송빌딩 5층,37.4986214,127.1204775
스타벅스 가락본동점,가락시장역,4.4,54,서울 송파구 송파대로30길 13,37.4948581,127.1188127
스타벅스 올림픽훼미리점,가락시장역,4.0,20,서울 송파구 중대로 68 훼미리 샤르망 1층,37.4915498,127.1164282
호이안로스터리 1호점,가락시장역,4.2,162,서울 송파구 법원로 128 SKV1 GL빌딩 B동 115호,37.4816698,127.1206971
스타벅스 문정로데오점,가락시장역,2.9,47,서울 송파구 동남로 141,37.4918583,127.1263194
메가MGC커피 문정테라타워점,가락시장역,3.1,7,서울 송파구 송파대로 201 A동 132호,37.4969143,127.1121343
스타벅스 문정법원로R,가락시장역,3.4,48,서울 송파구 송파대로 201,37.4969143,127.1121343
우지커피 가락시장역점,가락시장역,5.0,9,서울 송파구 송파대로28길 27 송파성원쌍떼빌 102동 102호,37.495064,127.1204364
김대기커피스쿨,가락시장역,4.8,35,"서울 송파구 중대로10길 7-1 경복빌딩 지층, 1층",37.4932344,127.1220288
커피랑도서관 가락시장역점,가락시장역,4.4,16,서울 송파구 중대로 60-6 공간빌딩 5층,37.4912409,127.1156273
플루엣,가락시장역,4.3,529,서울 송파구 동남로 102 레이102 1층,37.48939650000001,127.1228479
빌리엔젤 문정동대명사옥점,가락시장역,4.3,56,서울 송파구 법원로 135 1층,37.4816698,127.1206971
할리스 가락시장역점,가락시장역,3.4,15,서울 송파구 중대로 130 원전빌딩 1층,37.4942014,127.1226485
메가MGC커피 가락시장역점,가락시장역,1.7,16,서울 송파구 중대로9길 21 센터빌딩 1층,37.495005,127.1189189
서울팥집,가락시장역,4.3,29,서울 송파구 문정로1길 36 1층,37.4893297,127.1235373
투썸플레이스 가락시장역점,가락시장역,2.1,27,서울 송파구 중대로 113 1층,37.4940143,127.1208149
