지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2),일 최심적설(cm)
108,서울,2024-01-01,-.3,7.3,0,1.7,83.4,7.44,2.4
108,서울,2024-01-02,2.2,4.3,0,1.6,72.6,3.87,
108,서울,2024-01-03,-1.1,4,.6,1.6,80.4,3.32,
108,서울,2024-01-04,-3.3,4.7,,1.9,74.3,5.22,
108,서울,2024-01-05,1.4,9.1,0,2.3,77.1,7.77,
108,서울,2024-01-06,-2.7,5.2,2.4,2.2,63.9,11.42,6
108,서울,2024-01-07,-8.3,-.9,,3.1,57.4,12.13,5.6
108,서울,2024-01-08,-10.3,0,,1.8,57.8,11.65,1.5
108,서울,2024-01-09,-1.9,.4,1.6,2,84,1.48,3.1
108,서울,2024-01-10,-4.1,3.3,,1.7,85.9,7.81,3
108,서울,2024-01-11,-2.4,4.5,,1.9,80.6,4.58,2
108,서울,2024-01-12,-1.4,4.2,,2.3,61.6,11.77,
108,서울,2024-01-13,-3.8,6.4,,1.4,44.3,12.05,
108,서울,2024-01-14,-3.3,2.4,3.1,2.1,74.5,1.28,
108,서울,2024-01-15,-6.9,.9,,2.5,51.3,12.82,
108,서울,2024-01-16,-7.2,4.3,,1.5,49.8,11.86,
108,서울,2024-01-17,-2.3,1.9,9.7,2,78.5,1.9,2.3
108,서울,2024-01-18,1.4,9.4,.5,2.4,81.5,9.86,1.1
108,서울,2024-01-19,4,9,,4.5,65.4,10.29,
108,서울,2024-01-20,1.9,4.9,.4,5.3,69.5,2.74,
108,서울,2024-01-21,-2.4,4.3,.4,2.5,75.8,3.57,
108,서울,2024-01-22,-11.9,-2.4,.2,4.1,65.6,8.49,2.3
108,서울,2024-01-23,-14,-8.2,,3.9,53.6,13.53,
108,서울,2024-01-24,-11.2,-3.7,,3.3,52,13.63,
108,서울,2024-01-25,-9.7,-.5,,2.1,47.8,13.57,
108,서울,2024-01-26,-6.9,4,,1.9,62.5,12.68,
108,서울,2024-01-27,-4.6,4.6,,1.8,70,12.43,
108,서울,2024-01-28,-5,3.8,,1.9,62.3,12.52,
108,서울,2024-01-29,-4.8,4.6,,1.7,66.6,12.65,
108,서울,2024-01-30,-4,8.1,,1.4,59.3,12.73,
108,서울,2024-01-31,.7,10.6,,1.9,54.1,12.65,
108,서울,2024-02-01,-1.3,8.2,,2.1,64.9,10.12,
108,서울,2024-02-02,.7,7.9,,2.1,65.5,10.3,
108,서울,2024-02-03,-.2,8.3,0,2.2,63.9,6.77,
108,서울,2024-02-04,3.7,12.2,,1.8,60.9,10.88,
108,서울,2024-02-05,.1,6.6,3.9,5,81.8,3.47,3.6
