BASE_YM,CTNP_NM,SGGU_NM,TRDAR_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT
202309,서울특별시,강남구,역삼역_4,54,438301799,1577369705,2341702035,1529320219,392712346,60,190112570,657678979,795821125,406645649,146895291
202312,서울특별시,강남구,선릉역_2,215699,358447909,1725581209,2532182407,1705684151,761564843,253310,166853070,724713054,849561584,582778955,294403941
202309,서울특별시,종로구,경복궁역_2,469543,143975680,564355848,524159757,638755057,447019893,401645,152691033,487849041,450942995,442304296,311698863
202404,서울특별시,종로구,종로3가역_1,137070,270270019,1281992686,1352237168,1153618854,1025604880,230457,124442765,563053360,494458921,423884323,366236325
202311,서울특별시,종로구,종로3가역_1,292495,353636760,1392807350,1498512788,1138894501,1006084493,188689,158058341,575996270,561747475,428794730,368794854
202402,서울특별시,종로구,종로3가역_1,29777,238121291,1139393903,1273644723,1055098138,967139105,23154,113300719,474473991,448637341,369185541,336955243
202402,서울특별시,강남구,대치역_2,1846071,7178183,51034944,193119495,191384210,142302229,2032257,6533048,43353762,175263644,174319324,123433485
202311,서울특별시,강남구,대치역_2,1050718,10465444,71539843,224294566,207306849,175399267,1163723,9547966,65123029,217198226,191528586,162117903
202311,서울특별시,금천구,가산디지털단지역_2,20386,605681372,1652902301,1913780384,955022967,373037498,24493,365238467,938781049,990958380,508296523,196583388
202308,서울특별시,강동구,천호역_1,1468150,556377148,1381742529,1015075973,691494314,353746044,1666607,379863937,901056881,660228207,479316586,250395018
202310,서울특별시,광진구,건대입구역_1,4114337,390624824,766748589,509330612,488066431,342937492,3401014,301310850,579620551,337750474,325646114,198708458
202404,서울특별시,성동구,왕십리역_1,50364,144636061,517464429,400210455,382697183,261905925,49134,94448112,322949856,266117235,245381571,174597096
202312,서울특별시,종로구,종로구청,1761104,503193118,2263524411,2826780616,2460320362,906683878,1967472,309941538,1334422667,1547273271,1281622232,485528785
202402,서울특별시,중구,동대문역사문화공원역,37182,145850832,637245019,722337842,687684592,279981479,68335,70731064,268580677,248816467,204957956,99819520
202312,서울특별시,강남구,학동역_1,0,16319505,67284548,64313310,44328121,27100223,0,10276046,37193404,35948339,25376205,16074168
202403,서울특별시,강남구,신사동사로수길_2,4041625,1034322462,3363340383,2063945481,1497481076,738152962,3618739,783792162,2320014037,1293519843,947010074,494906564
202405,서울특별시,중구,시청역_2,1020809,135296438,711923425,980398679,929414951,294336759,960459,108421729,483348456,626432920,545382764,176244690
202311,서울특별시,강남구,포스코사거리_1,135251,160297935,824109771,1131219185,841876391,389013285,112045,93855721,439664966,491682411,291315975,151293912
202307,서울특별시,서초구,강남역_2,2484227,1916217157,3711522155,1913005806,1279224874,449907872,2352573,1204265800,2105988995,1063583047,728202817,250904645
202309,서울특별시,중구,명동,4292722,654744451,2277338066,2538684964,1890609755,929982826,2739622,551491520,1709120276,1804206972,1341914274,691091727
202401,서울특별시,강남구,코엑스,339524,30745343,125720550,177790481,98495278,48035387,327870,24438258,102327643,114234235,75561792,36758412
202307,서울특별시,서초구,남부터미널역_1,547108,56179551,308768934,444166661,493675997,618874440,219764,26550563,131334648,198369923,216659247,291222880
202309,서울특별시,용산구,용산 전자상가_4,0,89685803,322941714,312054356,308456198,133383121,0,42183404,143649490,127112536,99354658,61716983
202308,서울특별시,강동구,고덕역,24744477,120249641,430582999,1202770698,899098687,508549701,26474763,128247577,428586552,1145001066,877139693,459285830
202404,서울특별시,서초구,포이사거리_2,658900,132740192,589292958,654225160,538311229,402593164,558933,61239762,287229242,326204849,237420218,165185905
202403,서울특별시,강동구,둔촌동역,1268780,94093983,487958629,737065167,701193672,489098768,1091554,59892104,282402733,405849124,407735556,273309176
202406,서울특별시,동작구,총신대입구역_1,4176972,594460928,1800458759,1567095237,1517334940,1215795360,3327418,373027202,1071516876,946577267,945960511,856352628
202402,서울특별시,서초구,고속터미널역,2647504,158528930,460608823,637428621,711198338,459775375,3421170,198214173,571803598,752936276,844250631,548088989
202311,서울특별시,서초구,고속터미널역,4306309,194977327,529172950,689569268,759675625,487836132,5505019,254601740,662145157,860230134,935861588,584346097
202312,서울특별시,서초구,양재 화물트럭터미널앞,0,15742145,44061133,54604924,54111569,13765478,0,3357576,8993943,11053003,9988488,2416950
202310,서울특별시,강남구,선릉역_1,201002,69814471,248938913,245339950,203408945,132646118,253993,48751534,164547437,147124353,130836831,87899406
202310,서울특별시,서초구,방배역,4254195,214387106,566211626,742637718,840961391,404214444,4474307,165467004,429788314,594542825,697662122,321894195
202309,서울특별시,강서구,강서구청,1248591,502766717,1717211836,1567845256,1132244047,649548463,387751,226200944,740669915,687700644,515093752,298275990
202310,서울특별시,송파구,장지역,610035,44954240,204196972,254650832,148814062,76316429,579778,32003605,119796302,194967533,112617404,51432156
202312,서울특별시,중구,충무로역_2,931372,514142249,1808640497,2199223667,2108201667,1147469731,945380,382046479,1038870545,984214680,841641859,459430723
202310,서울특별시,강동구,길동역,346516,426808023,1269076954,2038622513,1549313645,861937012,405404,250863831,691653071,812641466,603641065,374974804
