지점,지점명,일시,1시간 최다강수량(mm),최대 풍속(m/s)
108,서울,2024-01-01,,3.2
108,서울,2024-01-02,,3.1
108,서울,2024-01-03,,4.2
108,서울,2024-01-04,,3.4
108,서울,2024-01-05,,4.8
108,서울,2024-01-06,,4
108,서울,2024-01-07,,6.9
108,서울,2024-01-08,,4
108,서울,2024-01-09,,3
108,서울,2024-01-10,,3
108,서울,2024-01-11,,3.9
108,서울,2024-01-12,,4.3
108,서울,2024-01-13,,3.8
108,서울,2024-01-14,,4.2
108,서울,2024-01-15,,4.9
108,서울,2024-01-16,,3.4
108,서울,2024-01-17,,3.4
108,서울,2024-01-18,,5.5
108,서울,2024-01-19,,7.1
108,서울,2024-01-20,,7.2
108,서울,2024-01-21,,5.3
108,서울,2024-01-22,,6.3
108,서울,2024-01-23,,6.6
108,서울,2024-01-24,,5.9
108,서울,2024-01-25,,3.7
108,서울,2024-01-26,,3.9
108,서울,2024-01-27,,4.8
108,서울,2024-01-28,,3.6
108,서울,2024-01-29,,3.7
108,서울,2024-01-30,,2.9
108,서울,2024-01-31,,4.3
108,서울,2024-02-01,,4.4
108,서울,2024-02-02,,4.1
108,서울,2024-02-03,,4.4
108,서울,2024-02-04,,4.7
108,서울,2024-02-05,,8.8
108,서울,2024-02-06,,3.4
108,서울,2024-02-07,,3.6
108,서울,2024-02-08,,4
108,서울,2024-02-09,,4.5
108,서울,2024-02-10,,4.7
108,서울,2024-02-11,,5.5
108,서울,2024-02-12,,3.6
108,서울,2024-02-13,,5.6
108,서울,2024-02-14,,4.4
108,서울,2024-02-15,,6.5
108,서울,2024-02-16,,3.7
108,서울,2024-02-17,,3
108,서울,2024-02-18,,5
108,서울,2024-02-19,,4.8
108,서울,2024-02-20,,7.5
108,서울,2024-02-21,,7.2
108,서울,2024-02-22,,6
108,서울,2024-02-23,,5.5
108,서울,2024-02-24,,4.7
108,서울,2024-02-25,,3.8
108,서울,2024-02-26,,3.7
108,서울,2024-02-27,,5.2
108,서울,2024-02-28,,3.3
108,서울,2024-02-29,,6.6
108,서울,2024-03-01,,7.5
108,서울,2024-03-02,,7.1
108,서울,2024-03-03,,5.9
108,서울,2024-03-04,,3.2
108,서울,2024-03-05,,5.5
108,서울,2024-03-06,,5.1
108,서울,2024-03-07,,4.9
